file_path,direction,scale,midi_notes
chromaTone_midi_files/min Asc S 1.mid,0,min,"[48, 55, 60, 62, 63, 67, 72, 79]"
chromaTone_midi_files/Eas Asc 2.mid,0,eas,"[55, 56, 53, 59, 60, 56, 62, 65, 59, 67, 68]"
chromaTone_midi_files/Maj Asc 5.mid,0,maj,"[52, 53, 55, 60, 64, 65, 67, 72]"
chromaTone_midi_files/Eas Osc 2.mid,2,eas,"[66, 63, 56, 59, 67, 55, 60, 59]"
chromaTone_midi_files/min Des S 2.mid,1,min,"[75, 74, 72, 67, 63, 62, 60, 55]"
chromaTone_midi_files/min Des S 1.mid,1,min,"[79, 75, 74, 72, 67, 63, 62, 60]"
chromaTone_midi_files/Eas Hor 1.mid,3,eas,"[55, 56, 59, 55, 56, 59, 56, 55]"
chromaTone_midi_files/Maj Des 5.mid,1,maj,"[79, 74, 72, 71, 67, 62, 60, 59]"
chromaTone_midi_files/Maj Osc 2.mid,2,maj,"[53, 60, 55, 60, 57, 60, 55, 53]"
chromaTone_midi_files/Eas Des 1.mid,1,eas,"[79, 78, 75, 74, 72, 71, 68, 67]"
chromaTone_midi_files/min Osc 2.mid,2,min,"[56, 65, 55, 63, 56, 65, 58, 56]"
chromaTone_midi_files/Maj Des 2.mid,1,maj,"[74, 72, 69, 66, 62, 60, 57, 54]"
chromaTone_midi_files/Maj Hor 1.mid,3,maj,"[60, 60, 62, 60, 64, 60, 62, 60]"
chromaTone_midi_files/min Des S 5.mid,1,min,"[80, 79, 77, 72, 68, 67, 65, 60]"
chromaTone_midi_files/Maj Hor 3.mid,3,maj,"[60, 60, 59, 60, 64, 60, 59, 60]"
chromaTone_midi_files/Maj Asc 2.mid,0,maj,"[48, 57, 53, 55, 60, 65, 67, 72]"
chromaTone_midi_files/Eas Des 2.mid,1,eas,"[79, 78, 68, 75, 74, 62, 72, 71, 59, 68, 67]"
chromaTone_midi_files/min Hor 4.mid,3,min,"[65, 60, 60, 62, 60, 56, 62, 60]"
chromaTone_midi_files/Eas Hor 2.mid,3,eas,"[62, 60, 59, 60, 59, 62, 60, 59]"
chromaTone_midi_files/min Asc S 2.mid,0,min,"[51, 55, 63, 60, 72, 67, 75, 79]"
chromaTone_midi_files/min Hor 2.mid,3,min,"[60, 60, 62, 60, 65, 60, 62, 60]"
chromaTone_midi_files/min Osc 5.mid,2,min,"[63, 55, 62, 55, 63, 55, 56, 55]"
chromaTone_midi_files/min Osc 4.mid,2,min,"[56, 67, 58, 56, 65, 60, 67, 56]"
chromaTone_midi_files/min Des S 6.mid,1,min,"[79, 72, 74, 67, 72, 63, 62, 60]"
chromaTone_midi_files/Maj Hor 6.mid,3,maj,"[60, 62, 60, 57, 62, 60, 62, 60]"
chromaTone_midi_files/Maj Hor 4.mid,3,maj,"[57, 60, 59, 60, 60, 60, 57, 60]"
chromaTone_midi_files/Maj Osc 4.mid,2,maj,"[60, 53, 55, 57, 60, 55, 60, 57]"
chromaTone_midi_files/Maj Osc 1.mid,2,maj,"[52, 60, 53, 60, 55, 60, 57, 55]"
chromaTone_midi_files/Maj Hor 2.mid,3,maj,"[60, 60, 62, 60, 65, 60, 62, 60]"
chromaTone_midi_files/Maj Asc 1.mid,0,maj,"[48, 55, 50, 52, 60, 62, 64, 67]"
chromaTone_midi_files/Maj Asc 6.mid,0,maj,"[55, 60, 62, 64, 67, 72, 74, 76]"
chromaTone_midi_files/min Osc 1.mid,2,min,"[55, 63, 56, 62, 55, 63, 56, 55]"
chromaTone_midi_files/min Des S 4.mid,1,min,"[79, 77, 74, 72, 68, 67, 65, 60]"
chromaTone_midi_files/min Asc S 4.mid,0,min,"[53, 56, 56, 60, 65, 60, 68, 72, 68, 77, 80]"
chromaTone_midi_files/Maj Osc 6.mid,2,maj,"[64, 55, 60, 57, 55, 64, 57, 64]"
chromaTone_midi_files/min Des S 3.mid,1,min,"[77, 74, 72, 68, 67, 65, 60, 56]"
chromaTone_midi_files/min Hor 1.mid,3,min,"[60, 60, 63, 60, 62, 60, 63, 60]"
chromaTone_midi_files/min Hor 5.mid,3,min,"[60, 60, 60, 60, 67, 60, 62, 60]"
chromaTone_midi_files/Maj Des 6.mid,1,maj,"[77, 72, 71, 69, 65, 60, 59, 57]"
chromaTone_midi_files/Maj Des 1.mid,1,maj,"[72, 71, 69, 65, 60, 59, 57, 53]"
chromaTone_midi_files/min Asc S 5.mid,0,min,"[55, 60, 62, 63, 67, 72, 74, 75]"
chromaTone_midi_files/Maj Asc 3.mid,0,maj,"[43, 59, 55, 62, 57, 59, 67, 74]"
chromaTone_midi_files/Maj Des 3.mid,1,maj,"[75, 74, 72, 68, 63, 62, 60, 56]"
chromaTone_midi_files/min Osc 6.mid,2,min,"[62, 63, 56, 55, 63, 62, 56, 55]"
chromaTone_midi_files/min Hor 3.mid,3,min,"[60, 63, 60, 62, 60, 55, 62, 60]"
chromaTone_midi_files/Maj Osc 3.mid,2,maj,"[55, 62, 57, 62, 59, 67, 60, 59]"
chromaTone_midi_files/Maj Osc 5.mid,2,maj,"[62, 54, 57, 62, 55, 62, 57, 62]"
chromaTone_midi_files/Maj Des 4.mid,1,maj,"[77, 74, 72, 70, 65, 62, 60, 58]"
chromaTone_midi_files/min Osc 3.mid,2,min,"[58, 67, 60, 58, 65, 60, 67, 58]"
chromaTone_midi_files/Eas Osc 1.mid,2,eas,"[62, 55, 56, 59, 60, 53, 62, 55]"
chromaTone_midi_files/min Hor 6.mid,3,min,"[65, 60, 60, 60, 56, 60, 62, 60]"
chromaTone_midi_files/min Asc S 6.mid,0,min,"[56, 60, 62, 65, 68, 72, 74, 77]"
chromaTone_midi_files/Maj Hor 5.mid,3,maj,"[60, 60, 60, 55, 62, 60, 62, 60]"
chromaTone_midi_files/Maj Asc 4.mid,0,maj,"[45, 53, 48, 57, 53, 60, 65, 72]"
chromaTone_midi_files/Eas Asc 1.mid,0,eas,"[55, 56, 60, 62, 67, 68, 72, 74]"
chromaTone_midi_files/min Asc S 3.mid,0,min,"[50, 56, 62, 60, 68, 65, 72, 74]"
